,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Benin,32542,244,32298,,,,
,,,,Tons to Nigeria,30561,Tons from Ghana,10719
,,,,Tons to Benin,1455,Tons from Togo,7357
,,,,Tons to Cameroon,221,Tons from Nigeria,2914
,,,,Tons to Gabon,32,Tons from Benin,1455
,,,,Tons to Equatorial Guinea,19,Tons from Côte d'Ivoire,20
,,,,Tons to Togo,10,Tons from Angola,8
,,,,Tons to Ghana,1,Tons from Senegal,4
,,,,,,Tons from Cape Verde,2
,,,,,,Tons from Namibia,1
,,,,,,Tons from Gambia,1
,,,,,,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Ivory coast,58403,1008,57394,,,,
,,,,Tons to Côte d'Ivoire,50834,Tons from Côte d'Ivoire,50834
,,,,Tons to Ghana,6402,Tons from Liberia,2464
,,,,Tons to Nigeria,123,Tons from Angola,551
,,,,Tons to Benin,20,Tons from Ghana,495
,,,,Tons to Liberia,15,Tons from Guinea-Bissau,480
,,,,,,Tons from Senegal,461
,,,,,,Tons from Gambia,367
,,,,,,Tons from Sierra Leone,234
,,,,,,Tons from Guinea,98
,,,,,,Tons from Mauritania,27
,,,,,,Tons from Morocco,14
,,,,,,Tons from Republic of Congo,13
,,,,,,Tons from São Tomé and Príncipe,8
,,,,,,Tons from Namibia,4
,,,,,,Tons from Western Sahara,3
,,,,,,Tons from Cape Verde,3
,,,,,,Tons from Democratic Republic of the Congo,1
,,,,,,Tons from South Africa,0
,,,,,,Tons from Equatorial Guinea,0
,,,,,,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Ghana,109019,1112,107907,,,,
,,,,Tons to Nigeria,69997,Tons from Ghana,24099
,,,,Tons to Ghana,24099,Tons from Côte d'Ivoire,6402
,,,,Tons to Benin,10719,Tons from Togo,409
,,,,Tons to Togo,2081,Tons from Angola,66
,,,,Tons to Côte d'Ivoire,495,Tons from Liberia,32
,,,,Tons to Cameroon,411,Tons from Guinea-Bissau,26
,,,,Tons to Gabon,89,Tons from Senegal,22
,,,,Tons to Equatorial Guinea,16,Tons from Gambia,18
,,,,,,Tons from Guinea,10
,,,,,,Tons from Sierra Leone,10
,,,,,,Tons from São Tomé and Príncipe,6
,,,,,,Tons from Republic of Congo,3
,,,,,,Tons from Mauritania,2
,,,,,,Tons from Benin,1
,,,,,,Tons from Namibia,1
,,,,,,Tons from Nigeria,1
,,,,,,Tons from South Africa,0
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Liberia,14351,131,14220,,,,
,,,,Tons to Liberia,11502,Tons from Liberia,11502
,,,,Tons to Côte d'Ivoire,2464,Tons from Sierra Leone,3045
,,,,Tons to Sierra Leone,206,Tons from Senegal,1785
,,,,Tons to Ghana,32,Tons from Gambia,1424
,,,,Tons to Nigeria,14,Tons from Guinea-Bissau,933
,,,,Tons to Guinea,2,Tons from Angola,429
,,,,Tons to Equatorial Guinea,0,Tons from Guinea,274
,,,,,,Tons from Mauritania,117
,,,,,,Tons from Morocco,31
,,,,,,Tons from Republic of Congo,26
,,,,,,Tons from Brazil,26
,,,,,,Tons from Western Sahara,17
,,,,,,Tons from Côte d'Ivoire,15
,,,,,,Tons from Cape Verde,12
,,,,,,Tons from Namibia,6
,,,,,,Tons from Democratic Republic of the Congo,1
,,,,,,Tons from United States,0
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Nigeria,502546,5705,496841,,,,
,,,,Tons to Cameroon,276425,Tons from Nigeria,216156
,,,,Tons to Nigeria,216156,Tons from Ghana,69997
,,,,Tons to Benin,2914,Tons from Benin,30561
,,,,Tons to Equatorial Guinea,907,Tons from Togo,22586
,,,,Tons to Gabon,437,Tons from Angola,489
,,,,Tons to Togo,2,Tons from Côte d'Ivoire,123
,,,,Tons to Ghana,1,Tons from Cameroon,89
,,,,,,Tons from Republic of Congo,68
,,,,,,Tons from São Tomé and Príncipe,27
,,,,,,Tons from Liberia,14
,,,,,,Tons from Guinea-Bissau,11
,,,,,,Tons from Gambia,6
,,,,,,Tons from Senegal,6
,,,,,,Tons from Namibia,5
,,,,,,Tons from Equatorial Guinea,3
,,,,,,Tons from Democratic Republic of the Congo,2
,,,,,,Tons from Guinea,2
,,,,,,Tons from Gabon,1
,,,,,,Tons from Morocco,1
,,,,,,Tons from South Africa,0
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Sierra leone,23901,75,23826,,,,
,,,,Tons to Sierra Leone,11428,Tons from Sierra Leone,11428
,,,,Tons to Guinea,9110,Tons from Senegal,1887
,,,,Tons to Liberia,3045,Tons from Gambia,1567
,,,,Tons to Côte d'Ivoire,234,Tons from Guinea,1088
,,,,Tons to Ghana,10,Tons from Guinea-Bissau,1004
,,,,,,Tons from Mauritania,212
,,,,,,Tons from Liberia,206
,,,,,,Tons from Angola,171
,,,,,,Tons from Cape Verde,32
,,,,,,Tons from Western Sahara,26
,,,,,,Tons from Brazil,12
,,,,,,Tons from Morocco,11
,,,,,,Tons from Democratic Republic of the Congo,3
,,,,,,Tons from Namibia,2
,,,,,,Tons from Republic of Congo,1
,,,,,,Tons from Gabon,1
,,,,,,Tons from United States,1
,,,,,,Tons from Spain,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Togo,31773,0,31773,,,,
,,,,Tons to Nigeria,22586,Tons from Ghana,2081
,,,,Tons to Benin,7357,Tons from Togo,1365
,,,,Tons to Togo,1365,Tons from Benin,10
,,,,Tons to Ghana,409,Tons from Nigeria,2
,,,,Tons to Cameroon,26,,
,,,,Tons to Equatorial Guinea,17,,
,,,,Tons to Gabon,13,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Guinea,25340,173,25167,,,,
,,,,Tons to Guinea,23596,Tons from Guinea,23596
,,,,Tons to Sierra Leone,1088,Tons from Sierra Leone,9110
,,,,Tons to Liberia,274,Tons from Guinea-Bissau,4794
